tissue
time, cell count

0,3.0525e+12
45,7.0412e+11
90,2.1437e+11

blood
time, cell count

0,1.6376e+11
15,4.4134e+11
30,6.0251e+11
45,6.931e+11
60,7.4286e+11
75,7.6803e+11
90,7.7849e+11
105,7.8108e+11
120,7.7842e+11
135,7.7312e+11
150,7.6624e+11
165,7.5858e+11
180,7.5048e+11
195,7.4224e+11
210,7.3401e+11
225,7.2587e+11
240,7.1785e+11
255,7.1e+11
270,7.0231e+11
285,6.9481e+11
300,6.8754e+11
315,6.8035e+11
330,6.7343e+11
345,6.6657e+11
360,6.6001e+11
375,6.5348e+11
390,6.4725e+11
405,6.4105e+11
420,6.3512e+11
435,6.2925e+11
450,6.2359e+11
465,6.1805e+11
480,6.1271e+11
495,6.0737e+11
